Fecha_Produccion,Turno,Lote_ID,Familia_Preparacion,Producto,Unidades_Producidas,Tiempo_Horneado_Min,Merma_Kg
2025-11-26,Mañana,LOTE-1547,Hojaldres,Croissant,37,42,2.24
2025-12-22,Mañana,LOTE-7782,Masas Quebradas,Tartaleta de fresa,26,33,2.85
2025-11-04,Mañana,LOTE-5604,Hojaldres,Empanada dulce,14,31,0.79
2025-08-16,Tarde,LOTE-5626,Masas Quebradas,Tartaleta de fresa,11,47,1.65
2026-04-09,Tarde,LOTE-5550,Masas Quebradas,Pie de limon,16,29,2.66
2025-12-05,Mañana,LOTE-9256,Hojaldres,Empanada dulce,46,20,2.53
2026-01-22,Mañana,LOTE-8054,Hojaldres,Mil hojas,40,45,2.92
2026-01-24,Tarde,LOTE-4908,Hojaldres,Empanada dulce,37,21,1.93
2025-10-12,Tarde,LOTE-5904,Masas Quebradas,Tartaleta de fresa,60,50,2.3
2025-11-23,Mañana,LOTE-9721,Masas Quebradas,Tartaleta de fresa,23,54,0.31
2026-04-03,Mañana,LOTE-2251,Masas Quebradas,Tartaleta de fresa,15,28,2.77
2025-10-12,Mañana,LOTE-2784,Bizcochos,Tres leches,35,19,0.58
2025-12-14,Tarde,LOTE-4070,Masas Quebradas,Tartaleta de fresa,56,37,2.47
2025-11-28,Mañana,LOTE-6914,Bizcochos,Red velvet,43,28,2.87
2025-12-07,Tarde,LOTE-8581,Masas Quebradas,Pie de limon,52,20,2.38
2025-12-12,Tarde,LOTE-4986,Masas Quebradas,Tartaleta de fresa,15,49,2.99
2025-08-01,Mañana,LOTE-9797,Masas Quebradas,Pie de limon,16,50,2.11
2025-07-16,Mañana,LOTE-4730,Masas Quebradas,Pie de limon,54,19,1.7
2026-04-03,Mañana,LOTE-3221,Bizcochos,Tres leches,37,28,1.11
2025-07-28,Tarde,LOTE-5967,Hojaldres,Empanada dulce,51,43,1.57
2025-12-27,Tarde,LOTE-6152,Bizcochos,Torta de chocolate,48,52,2.4
2025-07-10,Tarde,LOTE-2265,Hojaldres,Mil hojas,44,16,2.68
2026-06-19,Tarde,LOTE-3705,Masas Quebradas,Pie de limon,42,17,1.48
2025-09-20,Tarde,LOTE-5108,Masas Quebradas,Tartaleta de fresa,55,46,1.44
2026-03-14,Mañana,LOTE-5768,Bizcochos,Torta de chocolate,60,43,2.59
2025-07-01,Mañana,LOTE-2171,Hojaldres,Mil hojas,43,45,0.43
2025-09-13,Tarde,LOTE-3098,Masas Quebradas,Tartaleta de fresa,33,52,2.37
2025-08-09,Mañana,LOTE-8754,Hojaldres,Croissant,25,26,2.0
2025-09-07,Tarde,LOTE-8900,Bizcochos,Tres leches,13,54,1.83
