Fecha,Par,Apertura,Maximo,Minimo,Cierre,Volumen
2024-01-01,EUR/USD,1.08,1.0835,1.0766,1.0821,1283303
2024-01-02,EUR/USD,1.0821,1.084,1.0785,1.0815,1022110
2024-01-03,EUR/USD,1.0815,1.0866,1.0806,1.0843,1174274
2024-01-04,EUR/USD,1.0843,1.092,1.084,1.091,1299281
2024-01-05,EUR/USD,1.091,1.0915,1.087,1.0899,1442731
2024-01-08,EUR/USD,1.0899,1.0926,1.0861,1.0889,1481912
2024-01-09,EUR/USD,1.0889,1.0971,1.0877,1.0958,1659420
2024-01-10,EUR/USD,1.0958,1.1017,1.0916,1.0992,1031850
2024-01-11,EUR/USD,1.0992,1.0998,1.0964,1.0971,1096820
2024-01-12,EUR/USD,1.0971,1.1016,1.0952,1.0995,1276960
2024-01-15,EUR/USD,1.0995,1.1018,1.0933,1.0974,987280
2024-01-16,EUR/USD,1.0974,1.0977,1.0936,1.0954,1016195
2024-01-17,EUR/USD,1.0954,1.0979,1.0926,1.0964,1437683
2024-01-18,EUR/USD,1.0964,1.097,1.0863,1.0881,1164363
2024-01-19,EUR/USD,1.0881,1.0883,1.0794,1.0806,1442040
2024-01-22,EUR/USD,1.0806,1.0848,1.0739,1.0781,1249321
2024-01-23,EUR/USD,1.0781,1.0795,1.072,1.0738,953807
2024-01-24,EUR/USD,1.0738,1.0786,1.0699,1.0751,1185859
2024-01-25,EUR/USD,1.0751,1.0762,1.0702,1.0712,1643358
2024-01-26,EUR/USD,1.0712,1.0741,1.0642,1.0651,1725494
2024-01-29,EUR/USD,1.0651,1.0746,1.065,1.0714,1852757
2024-01-30,EUR/USD,1.0714,1.0739,1.0676,1.0704,1285064
2024-01-31,EUR/USD,1.0704,1.0727,1.0688,1.0707,904881
2024-02-01,EUR/USD,1.0707,1.0725,1.0609,1.0646,1583495
2024-02-02,EUR/USD,1.0646,1.0661,1.0603,1.0623,1238237
2024-02-05,EUR/USD,1.0623,1.0667,1.0582,1.0628,1691445
2024-02-06,EUR/USD,1.0628,1.0663,1.0571,1.0579,1087626
2024-02-07,EUR/USD,1.0579,1.0635,1.0542,1.0595,1431984
2024-02-08,EUR/USD,1.0595,1.06,1.0536,1.0569,1026985
2024-02-09,EUR/USD,1.0569,1.06,1.0524,1.0557,1215608
2024-02-12,EUR/USD,1.0557,1.0596,1.0496,1.0531,1686842
2024-02-13,EUR/USD,1.0531,1.0617,1.0499,1.0609,1536740
2024-02-14,EUR/USD,1.0609,1.0612,1.0582,1.0609,1056251
2024-02-15,EUR/USD,1.0609,1.064,1.0558,1.0564,1298156
2024-02-16,EUR/USD,1.0564,1.0623,1.0563,1.0599,1254989
2024-02-19,EUR/USD,1.0599,1.0634,1.0508,1.0547,1868703
2024-02-20,EUR/USD,1.0547,1.0562,1.0521,1.0556,1473753
2024-02-21,EUR/USD,1.0556,1.0589,1.044,1.0473,2175958
2024-02-22,EUR/USD,1.0473,1.0481,1.0397,1.0417,1643056
2024-02-23,EUR/USD,1.0417,1.0432,1.0413,1.0426,974247
2024-02-26,EUR/USD,1.0426,1.0463,1.042,1.0456,1341778
2024-02-27,EUR/USD,1.0456,1.0498,1.0428,1.0464,1284455
2024-02-28,EUR/USD,1.0464,1.0491,1.0441,1.0459,1059342
2024-02-29,EUR/USD,1.0459,1.0481,1.0438,1.0446,1451318
2024-03-01,EUR/USD,1.0446,1.0461,1.0364,1.0384,1059427
2024-03-04,EUR/USD,1.0384,1.0421,1.0352,1.0354,1653353
2024-03-05,EUR/USD,1.0354,1.0371,1.0311,1.0335,1257054
2024-03-06,EUR/USD,1.0335,1.0413,1.0324,1.0379,1546889
2024-03-07,EUR/USD,1.0379,1.0412,1.0346,1.0393,1442026
2024-03-08,EUR/USD,1.0393,1.0409,1.0307,1.032,1842779
2024-03-11,EUR/USD,1.032,1.0353,1.0301,1.0333,1350897
2024-03-12,EUR/USD,1.0333,1.0346,1.0317,1.0318,1217516
2024-03-13,EUR/USD,1.0318,1.0348,1.0287,1.029,961512
2024-03-14,EUR/USD,1.029,1.0335,1.0273,1.0315,1316000
2024-03-15,EUR/USD,1.0315,1.0367,1.0295,1.0357,1065705
2024-03-18,EUR/USD,1.0357,1.0433,1.0332,1.0396,1698661
2024-03-19,EUR/USD,1.0396,1.0412,1.0349,1.0361,1312311
2024-03-20,EUR/USD,1.0361,1.0384,1.0319,1.0348,1450969
2024-03-21,EUR/USD,1.0348,1.0399,1.0313,1.0362,1029368
2024-03-22,EUR/USD,1.0362,1.0428,1.033,1.0402,1108602
2024-03-25,EUR/USD,1.0402,1.0407,1.0381,1.0382,1273416
2024-03-26,EUR/USD,1.0382,1.0421,1.0355,1.0375,981929
2024-03-27,EUR/USD,1.0375,1.0401,1.0324,1.0329,1015866
2024-03-28,EUR/USD,1.0329,1.0343,1.0269,1.0279,957919
2024-03-29,EUR/USD,1.0279,1.0318,1.0239,1.0313,1767897
2024-04-01,EUR/USD,1.0313,1.0402,1.0307,1.0369,1667387
2024-04-02,EUR/USD,1.0369,1.0394,1.0345,1.0366,1129146
2024-04-03,EUR/USD,1.0366,1.043,1.034,1.0407,1256707
2024-04-04,EUR/USD,1.0407,1.046,1.0378,1.0422,1266342
2024-04-05,EUR/USD,1.0422,1.0455,1.0372,1.0395,1628827
2024-04-08,EUR/USD,1.0395,1.0417,1.0395,1.041,1211563
2024-04-09,EUR/USD,1.041,1.0488,1.0397,1.0475,1164462
2024-04-10,EUR/USD,1.0475,1.0485,1.0451,1.0473,933494
2024-04-11,EUR/USD,1.0473,1.057,1.0469,1.0539,1123544
2024-04-12,EUR/USD,1.0539,1.054,1.0414,1.0428,1753941
2024-04-15,EUR/USD,1.0428,1.0486,1.0427,1.0462,1489264
2024-04-16,EUR/USD,1.0462,1.0498,1.0459,1.0466,1018523
2024-04-17,EUR/USD,1.0466,1.0503,1.0437,1.0454,936629
2024-04-18,EUR/USD,1.0454,1.0472,1.0448,1.0457,834226
2024-04-19,EUR/USD,1.0457,1.0492,1.0351,1.0374,2144393
2024-04-22,EUR/USD,1.0374,1.0379,1.0337,1.0365,1056082
2024-04-23,EUR/USD,1.0365,1.0415,1.0332,1.038,1627392
2024-04-24,EUR/USD,1.038,1.0447,1.0372,1.0441,1463076
2024-04-25,EUR/USD,1.0441,1.0458,1.0413,1.042,1130363
2024-04-26,EUR/USD,1.042,1.0453,1.0382,1.0386,1105022
2024-04-29,EUR/USD,1.0386,1.0392,1.0339,1.0365,971732
2024-04-30,EUR/USD,1.0365,1.0413,1.0336,1.0403,1464961
2024-05-01,EUR/USD,1.0403,1.0447,1.0402,1.0417,1417197
2024-05-02,EUR/USD,1.0417,1.0447,1.0356,1.0395,1560862
2024-05-03,EUR/USD,1.0395,1.0443,1.0393,1.0416,1264113
2024-05-06,EUR/USD,1.0416,1.0449,1.0393,1.042,918442
2024-05-07,EUR/USD,1.042,1.0483,1.0391,1.046,1850547
2024-05-08,EUR/USD,1.046,1.0471,1.0395,1.0431,1609027
2024-05-09,EUR/USD,1.0431,1.0445,1.0388,1.0417,1118524
2024-05-10,EUR/USD,1.0417,1.0425,1.0368,1.0401,1641965
